"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\머신역사.png","머신역사.png","png","2242.86","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\모델.png","모델.png","png","2130.73","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\벡터.png","벡터.png","png","2108.02","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\엔진.png","엔진.png","png","2175.44","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\워크플로우.png","워크플로우.png","png","2267.39","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\임베딩.png","임베딩.png","png","2087.99","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\추상화.png","추상화.png","png","2245.03","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\토큰.png","토큰.png","png","2181.77","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\풍월.png","풍월.png","png","2261.7","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\프롬프트.png","프롬프트.png","png","2416.57","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표\형태소.png","형태소.png","png","2391.48","2026-06-08","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\next-env.d.ts","next-env.d.ts","ts","0.24","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\next.config.ts","next.config.ts","ts","0.1","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\package-lock.json","package-lock.json","json","54.56","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\package.json","package.json","json","0.56","2026-06-17","Desktop","AX강사준비"
