"폴더경로","파일수","총용량MB","가장오래된수정일","가장최근수정일","상위확장자3개"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src","1","0","2026-07-01","2026-07-01","ts(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\진행중\연구본부확인사항들","1","0.09","2022-11-17","2022-11-17","pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\ai\regenerate","1","0","2026-06-10","2026-06-10","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\export\markdown","1","0","2026-06-10","2026-06-10","ts(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\6번 이미지","1","0.13","2024-11-15","2024-11-15","jpg(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\1회\활용데이터\8번 API","1","0","2024-11-15","2024-11-15","txt(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\2회\활용데이터\4번 이미지","1","0.11","2024-11-15","2024-11-15","jpg(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\2회\활용데이터\6번 이미지","1","0.15","2024-11-15","2024-11-15","jpg(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\3회\활용데이터\6번 엑셀 데이터","1","0.01","2024-11-15","2024-11-15","xlsx(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\3회\활용데이터\8번 API","1","0","2024-11-15","2024-11-15","txt(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\3장\2. 공공 데이터 포털 활용하기","1","0.01","2024-11-15","2024-11-15","xlsx(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\5장\2. 실시간 공공데이터를 활용한 AI코딩\실전문제_문제","1","0","2024-11-15","2024-11-15","txt(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\99_archive","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영기획_사업계획\최종안","1","0.02","2022-10-31","2022-10-31","xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\styles","1","0.01","2026-07-01","2026-07-01","css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\12_legal_compliance","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\06_ai_data_security","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\공수기반견적체계\~BROMIUM","1","0","2022-10-21","2022-10-21","pdf(1)"
"C:\Users\hyun0\Documents\WAPL\비즈메카\~BROMIUM","1","0","2022-11-18","2022-11-18","docx(1)"
"C:\Users\hyun0\Documents\WAPL\사업&DoTo\합본","1","0.02","2022-11-11","2022-11-11","xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\사업&DoTo\활동일지","1","0.02","2022-11-11","2022-11-11","xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\04_requirements","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\2. 설명회 자료","1","20.07","2022-09-26","2022-09-26","pptx(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\서울시교육청 협업솔루션 구축사업_220926\3. 고객요구사항","1","0","2022-09-26","2022-09-26","txt(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\01_business_strategy","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\진행중\~BROMIUM","1","0","2022-11-15","2022-11-15","pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\07_quality_assurance","1","0","2026-06-17","2026-06-17","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\projects\[id]\export\bundle","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\데모데이","1","0.97","2026-07-07","2026-07-07","pdf(1)"
"C:\Users\hyun0\Documents\파이선\ch01","1","0","2016-01-21","2016-01-21","py(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\sources\brief","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\app\api\sources\collect","1","0","2026-06-12","2026-06-12","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\data","1","0","2026-06-12","2026-06-12","json(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\data\projects","1","0.06","2026-06-12","2026-06-12","json(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\markdown","1","0.01","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\types","1","0","2026-06-11","2026-06-11","ts(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오","1","0.01","2024-12-05","2024-12-05","html(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\css","1","0.02","2024-12-05","2024-12-05","css(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\impress.js-master\impress.js-master\css","1","0.02","2024-12-05","2024-12-05","css(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\impress.js-master\impress.js-master\js","1","0.03","2024-12-05","2024-12-05","js(1)"
"C:\Users\hyun0\Documents\파이선\chapter03","1","0","2015-11-05","2015-11-05","py(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\js","1","0.03","2024-12-05","2024-12-05","js(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\test","1","0","2026-06-29","2026-06-29","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\prompts","1","0","2026-06-29","2026-06-29","ts(1)"
"C:\Users\hyun0\Documents\알티노","1","0.15","2025-07-09","2025-07-09","zip(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\server","1","0.01","2026-06-29","2026-06-29","ts(1)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)\serial\threaded","1","0.01","2025-07-09","2025-07-09","py(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\e2e","1","0","2026-06-29","2026-06-29","ts(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\docs","1","0.02","2026-06-29","2026-06-29","md(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\data","1","0.01","2026-06-29","2026-06-29","json(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리","1","0.02","2026-06-29","2026-06-29","md(1)"
"C:\Users\hyun0\Documents\파이선\과제\~BROMIUM","1","0","2021-10-26","2021-10-26","py(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\SF_work","1","0","2021-12-02","2021-12-02","html(1)"
"C:\Users\hyun0\Downloads\SAM3\~BROMIUM","1","0","2022-03-29","2022-03-29","zip(1)"
