"폴더경로","파일수","총용량MB","가장오래된수정일","가장최근수정일","상위확장자3개"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\03_validation","5","0.02","2026-06-30","2026-06-30","md(5)"
"C:\Users\hyun0\Documents\김현래\소개자료","5","34.85","2021-11-09","2022-08-07","zip(3)|pdf(2)"
"C:\Users\hyun0\Documents\파이선\chapter12","5","0","2015-12-06","2016-03-13","py(5)"
"C:\Users\hyun0\Documents\WAPL\수퍼앱소개용","5","23.37","2022-10-18","2022-10-19","pptx(3)|pdf(2)"
"C:\Users\hyun0\Documents\WAPL\퇴사","5","19.62","2022-11-18","2022-11-21","png(2)|pdf(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\데모데이\AX커리큘럼","5","1.4","2026-07-06","2026-07-06","md(3)|pdf(2)"
"C:\Users\hyun0\Documents\파이선\chapter09","5","0","2015-11-30","2015-11-30","py(5)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development","5","0.04","2026-06-17","2026-06-17","md(5)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\2회\활용데이터\7번 이미지\토마토","5","0.69","2024-11-15","2024-11-15","jpg(5)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\2장\1. 함수\프로젝트\성인","5","0.08","2024-11-15","2024-11-15","jpg(5)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\2장\1. 함수\프로젝트\어린이","5","0.07","2024-11-15","2024-11-15","jpg(4)|png(1)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\4장\3. 티처블 머신\실전문제_문제\이미지\귤","5","0.63","2024-11-15","2024-11-15","png(5)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_학습자료\AICE_Future_1급_학습자료\4장\3. 티처블 머신\실전문제_문제\이미지\사과","5","0.89","2024-11-15","2024-11-15","png(5)"
"C:\Users\hyun0\Documents\WAPL\다이어리","5","8.72","2022-11-03","2022-11-04","xlsx(4)|pdf(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\impress.js-master\impress.js-master","5","0.04","2024-12-05","2024-12-05","png(2)|html(1)|json(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab\src\analyzer","5","0.02","2026-06-29","2026-06-29","ts(5)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\최종정리본","5","7.92","2022-10-27","2022-11-09","xlsx(2)|hwp(1)|pptx(1)"
"C:\Users\hyun0\Desktop\강의자료\251230_남양주진건고","5","0.45","2025-11-28","2025-12-28","hwp(2)|jpg(2)|pdf(1)"
"C:\Users\hyun0\Documents\WAPL\SaaS 현황 점검\계약서","5","18.26","2022-10-24","2022-10-26","pdf(4)|zip(1)"
"C:\Users\hyun0\Desktop\강의자료\251229_고양덕이고","5","56.59","2025-12-18","2025-12-28","jpg(2)|png(2)|pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기\src\lib\agents","5","0","2026-06-05","2026-06-05","ts(5)"
"C:\Users\hyun0\Documents\파이선\chapter06\ch06","4","0","2016-01-24","2016-03-15","py(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\src\lib\slides","4","0.03","2026-06-11","2026-06-11","ts(4)"
"C:\Users\hyun0\Documents\WAPL\충남대","4","5.54","2022-11-03","2022-11-14","pdf(1)|pptx(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\docs\implementation_reports","4","0.01","2026-06-30","2026-06-30","md(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\04_change_management","4","0.01","2026-06-30","2026-06-30","md(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\mockup","4","0.04","2026-06-30","2026-06-30","css(1)|html(1)|js(1)"
"C:\Users\hyun0\Desktop\ISMS\강사추천자료","4","23.06","2024-04-24","2024-06-28","pdf(3)|hwp(1)"
"C:\Users\hyun0\Desktop\강의자료\260515_용현중","4","72.93","2025-11-15","2026-05-14","pptx(3)|png(1)"
"C:\Users\hyun0\Documents\파이선\chapter13","4","0","2015-12-07","2016-03-16","py(4)"
"C:\Users\hyun0\Documents\WAPL\SaaS 현황 점검","4","2.12","2022-10-26","2022-11-10","xlsx(4)"
"C:\Users\hyun0\Documents\AICE\AICE_Future_1급_교재_모의평가\AICE_Future_1급_교재_모의평가\2회\활용데이터\7번 이미지\양파","4","0.7","2024-11-15","2024-11-15","jpg(4)"
"C:\Users\hyun0\Documents\김현래\~BROMIUM","4","0.02","2022-09-23","2023-09-22","pdf(4)"
"C:\Users\hyun0\Documents\파이선\chapter11\ch11","4","0","2016-03-12","2017-04-17","py(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\데모데이\AI에이전트","4","6.42","2026-07-07","2026-07-07","png(2)|pdf(1)|pptx(1)"
"C:\Users\hyun0\Documents\WAPL\SaaS 현황 점검\계약서\~BROMIUM","4","0","2022-10-26","2022-10-26","pdf(4)"
"C:\Users\hyun0\Documents\파이선\chapter07","4","0","2015-11-26","2015-11-29","py(4)"
"C:\Users\hyun0\Documents\파이선\chapter05\ch05","4","0","2016-01-24","2016-01-24","py(4)"
"C:\Users\hyun0\Documents\파이선\과제","4","0","2021-10-27","2025-07-09","py(4)"
"C:\Users\hyun0\Documents\파이선\chapter12\ch12","4","0","2016-03-13","2016-03-13","py(3)|json(1)"
"C:\Users\hyun0\Desktop\강의자료\251215_삼척삼일고","4","16.86","2025-11-27","2025-12-14","png(2)|pdf(1)|zip(1)"
"C:\Users\hyun0\Documents\파이선\chapter15\ch15","4","0.01","2016-03-11","2016-03-17","py(4)"
"C:\Users\hyun0\Desktop\강의자료\251209_신철원중","4","197.77","2025-12-05","2025-12-08","pptx(4)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청\~BROMIUM","4","0","2022-09-26","2022-10-26","xlsx(2)|pdf(1)|zip(1)"
"C:\Users\hyun0\Documents\WAPL\제품가격정책","4","0.4","2022-11-07","2022-11-08","pptx(2)|png(1)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260701_타로카드\src\lib\tarot","4","0.01","2026-07-01","2026-07-01","ts(4)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\dosbox\DOCS\Official manuals","4","0.13","2014-01-25","2014-01-25","txt(4)"
"C:\Users\hyun0\Downloads\eun4ex\eun4ex\game","4","0.02","1996-01-01","1996-01-01","c(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260630_퍼스털컬러\lib\analysis","4","0.01","2026-06-30","2026-06-30","js(4)"
"C:\Users\hyun0\Desktop\강의자료\인천작전고\수업량유연화 글꼴(공통)-20241112","4","16.72","2025-07-11","2025-07-11","zip(4)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수\orchestration","4","0","2026-06-11","2026-06-11","md(4)"
"C:\Users\hyun0\Desktop\강의자료\호평중","4","201.23","2025-09-09","2025-09-25","pdf(2)|hwp(1)|pptx(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영정략보고\참고자료","4","250.81","2022-10-11","2022-10-12","pptx(4)"
